ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
P50213,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",IDH3A,706839,U07681,P50213,IDH3A_HUMAN,,IDH3A,IDH3A,HGNC:5384,Human,DB00157
Q9P0X4,Voltage-dependent T-type calcium channel subunit alpha-1I,CACNA1I,5565888,AF129133,Q9P0X4,CAC1I_HUMAN,,CACNA1I,CACNA1I,HGNC:1396,Human,DB00568; DB00617; DB00661; DB00909; DB01388; DB04841
P30542,Adenosine receptor A1,ADORA1,256155,S45235,P30542,AA1R_HUMAN,,ADORA1,ADORA1,HGNC:262,Human,DB00201; DB00277; DB00640; DB00651; DB00806; DB00824; DB00996; DB01223; DB01303; DB01412; DB04932; DB04954; DB05360
P00519,Tyrosine-protein kinase ABL1,ABL1,28237,X16416,P00519,ABL1_HUMAN,,ABL1,ABL1,HGNC:76,Human,DB00171; DB00619; DB01254; DB03878; DB04868; DB05184; DB06616; DB07831; DB08043; DB08231; DB08339; DB08350; DB08583; DB08896; DB08901
P12319,High affinity immunoglobulin epsilon receptor subunit alpha,FCER1A,31318,X06948,P12319,FCERA_HUMAN,,FCER1A,FCER1A,HGNC:3609,Human,DB00043; DB00895; DB05797
P00451,Coagulation factor VIII,F8,182818,M14113,P00451,FA8_HUMAN,,F8,F8,HGNC:3546,Human,DB00055; DB00100
P23219,Prostaglandin G/H synthase 1,PTGS1,387018,M31822,P23219,PGH1_HUMAN,,PTGS1,PTGS1,HGNC:9604,Human,DB00154; DB00159; DB00244; DB00316; DB00328; DB00350; DB00461; DB00465; DB00469; DB00500; DB00554; DB00573; DB00586; DB00605; DB00711; DB00712; DB00749; DB00784; DB00788; DB00795; DB00812; DB00814; DB00821; DB00861; DB00870; DB00936; DB00939; DB00945; DB00963; DB00991; DB01009; DB01014; DB01050; DB01283; DB01397; DB01398; DB01399; DB01401; DB01419; DB01435; DB01600; DB01837; DB01892; DB02047; DB02110; DB02198; DB02266; DB02379; DB02709; DB02773; DB03667; DB03752; DB03753; DB03783; DB04552; DB04557; DB04817; DB05335; DB05822; DB06725; DB06802; DB07981; DB07983; DB07984; DB08814
P35626,Beta-adrenergic receptor kinase 2,ADRBK2,312395,X69117,P35626,ARBK2_HUMAN,,ADRBK2,ADRBK2,HGNC:290,Human,DB00171
P0A7V8,30S ribosomal protein S4,rpsD,42798,X02543,P0A7V8,RS4_ECOLI,,,,,Escherichia coli (strain K12),DB00254; DB00256; DB00453; DB00595; DB00618; DB01017
P21728,D(1A) dopamine receptor,DRD1,30397,X55760,P21728,DRD1_HUMAN,,DRD1,DRD1,HGNC:3020,Human,DB00246; DB00248; DB00268; DB00334; DB00353; DB00363; DB00372; DB00397; DB00408; DB00413; DB00420; DB00477; DB00502; DB00508; DB00543; DB00589; DB00623; DB00679; DB00714; DB00734; DB00777; DB00800; DB00805; DB00850; DB00875; DB00988; DB01038; DB01049; DB01063; DB01186; DB01200; DB01224; DB01235; DB01238; DB01239; DB01267; DB01403; DB01608; DB01614; DB01621; DB01622; DB01623; DB01624; DB04946; DB05271; DB05816; DB06216
P12461,Thymidylate synthase,TMP1,7537304,J04230,P12461,TYSY_CANAL,,,,,Yeast,DB01099
Q9BZW2,Solute carrier family 13 member 1,SLC13A1,12620132,AF260824,Q9BZW2,S13A1_HUMAN,,SLC13A1,SLC13A1,HGNC:10916,Human,DB00139
P35916,Vascular endothelial growth factor receptor 3,FLT4,297050,X69878,P35916,VGFR3_HUMAN,,FLT4,FLT4,HGNC:3767,Human,DB00398; DB01268; DB04879; DB05075; DB06080; DB06101; DB06589; DB06626; DB08896
P51168,Amiloride-sensitive sodium channel subunit beta,SCNN1B,1004271,X87159,P51168,SCNNB_HUMAN,,SCNN1B,SCNN1B,HGNC:10600,Human,DB00384; DB00594
P02452,Collagen alpha-1(I) chain,COL1A1,1418928,Z74615,P02452,CO1A1_HUMAN,,COL1A1,COL1A1,HGNC:2197,Human,DB00048; DB04866
Q9H4B7,Tubulin beta-1 chain,TUBB1,11230445,AJ292757,Q9H4B7,TBB1_HUMAN,,TUBB1,TUBB1,HGNC:16257,Human,DB00309; DB01229; DB01248; DB01394; DB01873; DB03010; DB04940; DB05147; DB06042; DB06772
P56181,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial",NDUFV3,6002197,X99726,P56181,NDUV3_HUMAN,,NDUFV3,NDUFV3,HGNC:7719,Human,DB00157
O95363,"Phenylalanine--tRNA ligase, mitochondrial",FARS2,3983103,AF097441,O95363,SYFM_HUMAN,,FARS2,FARS2,HGNC:21062,Human,DB00120
P17948,Vascular endothelial growth factor receptor 1,FLT1,31432,X51602,P17948,VGFR1_HUMAN,,FLT1,FLT1,HGNC:3763,Human,DB00398; DB01268; DB04879; DB05075; DB05913; DB06080; DB06101; DB06589; DB06626; DB07288; DB08896
Q9UPY5,Cystine/glutamate transporter,SLC7A11,5668545,AB026891,Q9UPY5,XCT_HUMAN,,SLC7A11,SLC7A11,HGNC:11059,Human,DB00138; DB00142; DB00740; DB00795; DB06151
Q9UBM7,7-dehydrocholesterol reductase,DHCR7,4191398,AF096305,Q9UBM7,DHCR7_HUMAN,,DHCR7,DHCR7,HGNC:2860,Human,DB00157
Q9BTZ2,Dehydrogenase/reductase SDR family member 4,DHRS4,4105190,AF044127,Q9BTZ2,DHRS4_HUMAN,,DHRS4,DHRS4,HGNC:16985,Human,DB00162
P06213,Insulin receptor,INSR,307070,M10051,P06213,INSR_HUMAN,,INSR,INSR,HGNC:6091,Human,DB00030; DB00046; DB00047; DB00071; DB01277; DB01306; DB01307; DB01309; DB03909; DB05115; DB05120; DB05215; DB08513; DB08914
P0A560,Probable arabinosyltransferase A,embA,2073559,U68480,P0A560,EMBA_MYCTU,,,,,Mycobacterium tuberculosis,DB00330
O60931,Cystinosin,CTNS,3036851,Y15924,O60931,CTNS_HUMAN,,CTNS,CTNS,HGNC:2518,Human,DB00138
P04049,RAF proto-oncogene serine/threonine-protein kinase,RAF1,35842,X03484,P04049,RAF1_HUMAN,,RAF1,RAF1,HGNC:9829,Human,DB00398; DB04973; DB05190; DB05268; DB08896; DB08912
O00217,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",NDUFS8,1935056,U65579,O00217,NDUS8_HUMAN,,NDUFS8,NDUFS8,HGNC:7715,Human,DB00157
Q9Y285,Phenylalanine--tRNA ligase alpha subunit,FARSA,2102679,U07424,Q9Y285,SYFA_HUMAN,,FARSLA,FARSLA,HGNC:3592,Human,DB00120
Q9Y234,"Lipoyltransferase 1, mitochondrial",LIPT1,4586380,AB017566,Q9Y234,LIPT_HUMAN,,LIPT1,LIPT1,HGNC:29569,Human,DB00166
P12259,Coagulation factor V,F5,182412,M16967,P12259,FA5_HUMAN,,F5,F5,HGNC:3542,Human,DB00055; DB04558; DB05777
O00764,Pyridoxal kinase,PDXK,1946349,U89606,O00764,PDXK_HUMAN,,PDXK,PDXK,HGNC:8819,Human,DB00147; DB00165; DB03909; DB04770; DB04776
P24530,Endothelin B receptor,EDNRB,182276,M74921,P24530,EDNRB_HUMAN,,EDNRB,EDNRB,HGNC:3180,Human,DB00559; DB06268; DB08932
Q15738,"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating",NSDHL,4457237,U47105,Q15738,NSDHL_HUMAN,,NSDHL,NSDHL,HGNC:13398,Human,DB00157
P20309,Muscarinic acetylcholine receptor M3,CHRM3,32324,X15266,P20309,ACM3_HUMAN,,CHRM3,CHRM3,HGNC:1952,Human,DB00185; DB00193; DB00202; DB00246; DB00280; DB00321; DB00332; DB00334; DB00340; DB00342; DB00363; DB00376; DB00383; DB00387; DB00408; DB00420; DB00424; DB00434; DB00458; DB00462; DB00477; DB00496; DB00505; DB00517; DB00540; DB00572; DB00622; DB00715; DB00725; DB00729; DB00747; DB00767; DB00777; DB00785; DB00809; DB00835; DB00934; DB00986; DB01036; DB01062; DB01069; DB01085; DB01142; DB01151; DB01224; DB01226; DB01231; DB01238; DB01239; DB01337; DB01338; DB01403; DB01409; DB01591; DB01625; DB04843; DB04924; DB05752; DB06702; DB06709; DB08897
P30613,Pyruvate kinase PKLR,PKLR,3327365,AB015983,P30613,KPYR_HUMAN,,PKLR,PKLR,HGNC:9020,Human,DB00119; DB02726; DB04551
Q9H2X9,Solute carrier family 12 member 5,SLC12A5,12003227,AF208159,Q9H2X9,S12A5_HUMAN,,SLC12A5,SLC12A5,HGNC:13818,Human,DB00761; DB00887
P00734,Prothrombin,F2,339641,M17262,P00734,THRB_HUMAN,,F2,F2,HGNC:3535,Human,DB00001; DB00006; DB00055; DB00100; DB00170; DB00278; DB01123; DB01766; DB01767; DB02193; DB02351; DB02723; DB03136; DB03159; DB03847; DB03865; DB04136; DB04591; DB04697; DB04722; DB04771; DB04772; DB04786; DB04898; DB05777; DB06695; DB06838; DB06841; DB06845; DB06850; DB06853; DB06854; DB06858; DB06859; DB06861; DB06865; DB06866; DB06868; DB06869; DB06878; DB06911; DB06919; DB06929; DB06936; DB06942; DB06947; DB06996; DB07005; DB07016; DB07027; DB07083; DB07088; DB07091; DB07095; DB07105; DB07120; DB07128; DB07131; DB07133; DB07143; DB07165; DB07190; DB07211; DB07277; DB07278; DB07279; DB07353; DB07366; DB07376; DB07400; DB07440; DB07461; DB07508; DB07515; DB07521; DB07522; DB07527; DB07548; DB07549; DB07550; DB07639; DB07658; DB07659; DB07660; DB07665; DB07718; DB07741; DB07796; DB07809; DB07897; DB07934; DB07944; DB07946; DB08061; DB08062; DB08152; DB08187; DB08254; DB08422; DB08546; DB08624
P30273,High affinity immunoglobulin epsilon receptor subunit gamma,FCER1G,182488,M33195,P30273,FCERG_HUMAN,,FCER1G,FCER1G,HGNC:3611,Human,DB00895
P13716,Delta-aminolevulinic acid dehydratase,ALAD,178329,M13928,P13716,HEM2_HUMAN,,ALAD,ALAD,HGNC:395,Human,DB00855; DB02068; DB02239; DB02260; DB02272; DB02878; DB04560; DB04781
P14060,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1,HSD3B1,306889,M27137,P14060,3BHS1_HUMAN,,HSD3B1,HSD3B1,HGNC:5217,Human,DB00157; DB01108; DB01536
O43246,Cationic amino acid transporter 4,SLC7A4,4378940,AJ000730,O43246,CTR4_HUMAN,,SLC7A4,SLC7A4,HGNC:11062,Human,DB00123; DB00125; DB00129
P64143,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,folK,2113971,BX842583,P64143,HPPK_MYCTU,,,,,Mycobacterium tuberculosis,DB00233
P48167,Glycine receptor subunit beta,GLRB,992687,U33267,P48167,GLRB_HUMAN,,GLRB,GLRB,HGNC:4329,Human,DB00145; DB00431
P61889,Malate dehydrogenase,mdh,41989,Y00129,P61889,MDH_ECOLI,,,,,Escherichia coli (strain K12),DB00336
P06818,Neuraminidase,NA,324460,K01150,P06818,NRAM_I79A0,,,,,Influenza A virus (strain A/Bangkok/1/1979 H3N2),DB00558; DB06614
P14780,Matrix metalloproteinase-9,"",177205,J05070,P14780,MMP9_HUMAN,,MMP9,MMP9,HGNC:7176,Human,DB00786; DB01017; DB01197; DB01296; DB01949; DB03683; DB05387; DB05495; DB07117; DB07246; DB07285
P26439,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2,HSD3B2,184401,M67466,P26439,3BHS2_HUMAN,,HSD3B2,HSD3B2,HGNC:5218,Human,DB00157; DB01108
P13674,Prolyl 4-hydroxylase subunit alpha-1,P4HA1,190786,M24486,P13674,P4HA1_HUMAN,,P4HA1,P4HA1,HGNC:8546,Human,DB00126; DB00139; DB00172; DB01275
P21554,Cannabinoid receptor 1,CNR1,29915,X54937,P21554,CNR1_HUMAN,,CNR1,CNR1,HGNC:2159,Human,DB00470; DB00486; DB05077; DB05201; DB05372; DB05750; DB06155
P30556,Type-1 angiotensin II receptor,AGTR1,179122,M91464,P30556,AGTR1_HUMAN,,AGTR1,AGTR1,HGNC:336,Human,DB00177; DB00275; DB00678; DB00796; DB00876; DB00966; DB01029; DB01342; DB01347; DB01349; DB05739; DB08822
P49591,"Serine--tRNA ligase, cytoplasmic",SARS,1050527,X91257,P49591,SYSC_HUMAN,,SARS,SARS,HGNC:10537,Human,DB00133
P34995,Prostaglandin E2 receptor EP1 subtype,PTGER1,410209,L22647,P34995,PE2R1_HUMAN,,PTGER1,PTGER1,HGNC:9593,Human,DB00297; DB00429; DB00770; DB00905; DB00917; DB01088
P10515,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",DLAT,35360,Y00978,P10515,ODP2_HUMAN,,DLAT,DLAT,HGNC:2896,Human,DB00157; DB03758; DB03760
P11836,B-lymphocyte antigen CD20,MS4A1,29774,X12530,P11836,CD20_HUMAN,,MS4A1,MS4A1,HGNC:7315,Human,DB00073; DB00078; DB00081; DB08935
P29475,"Nitric oxide synthase, brain",NOS1,642526,U17327,P29475,NOS1_HUMAN,,NOS1,NOS1,HGNC:7872,Human,DB00155; DB01821; DB01942; DB01997; DB02027; DB02044; DB02077; DB02143; DB02644; DB02692; DB02727; DB02991; DB03144; DB03147; DB03247; DB03449; DB03461; DB03707; DB03710; DB03892; DB04223; DB06096; DB08018; DB08019
P07195,L-lactate dehydrogenase B chain,LDHB,1200083,X13794,P07195,LDHB_HUMAN,,LDHB,LDHB,HGNC:6541,Human,DB00157; DB02401; DB03940
P24752,"Acetyl-CoA acetyltransferase, mitochondrial",ACAT1,219918,D90228,P24752,THIL_HUMAN,,ACAT1,ACAT1,HGNC:93,Human,DB00795
Q07869,Peroxisome proliferator-activated receptor alpha,PPARA,307341,L02932,Q07869,PPARA_HUMAN,,PPARA,PPARA,HGNC:9232,Human,DB00328; DB00636; DB01039; DB01241; DB01393; DB01708; DB01890; DB04971; DB05187; DB07215; DB07724; DB08915
Q9HCC0,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",MCCC2,10934059,AB050049,Q9HCC0,MCCB_HUMAN,,MCCC2,MCCC2,HGNC:6937,Human,DB00121
Q9UDR5,"Alpha-aminoadipic semialdehyde synthase, mitochondrial",AASS,7264724,AF229180,Q9UDR5,AASS_HUMAN,,AASS,AASS,HGNC:17366,Human,DB00142; DB00157; DB02338; DB04207
P51843,Nuclear receptor subfamily 0 group B member 1,NR0B1,786532,U31929,P51843,NR0B1_HUMAN,,NR0B1,NR0B1,HGNC:7960,Human,DB00755; DB01234
P10912,Growth hormone receptor,GHR,31738,X06562,P10912,GHR_HUMAN,,GHR,GHR,HGNC:4263,Human,DB00052; DB00082
Q9UDX3,SEC14-like protein 4,SEC14L4,27803380,AY158085,Q9UDX3,S14L4_HUMAN,,SEC14L4,SEC14L4,HGNC:20627,Human,DB00163
P00492,Hypoxanthine-guanine phosphoribosyltransferase,HPRT1,306885,M31642,P00492,HPRT_HUMAN,,HPRT1,HPRT1,HGNC:5157,Human,DB00993; DB01033; DB01632; DB02309; DB03153; DB04356
P28702,Retinoic acid receptor RXR-beta,RXRB,30448,X63522,P28702,RXRB_HUMAN,,RXRB,RXRB,HGNC:10478,Human,DB00210; DB00307; DB00459; DB00523; DB00755; DB00799; DB00926; DB01941; DB07080; DB07929; DB08175
Q9Y600,Cysteine sulfinic acid decarboxylase,CSAD,4894558,AF116546,Q9Y600,CSAD_HUMAN,,CSAD,CSAD,HGNC:18966,Human,DB00114; DB00151
O95299,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",NDUFA10,4191348,AF087661,O95299,NDUAA_HUMAN,,NDUFA10,NDUFA10,HGNC:7684,Human,DB00157
P12277,Creatine kinase B-type,CKB,180572,M16451,P12277,KCRB_HUMAN,,CKB,CKB,HGNC:1991,Human,DB00148
P31358,CAMPATH-1 antigen,CD52,29646,X62466,P31358,CD52_HUMAN,,CD52,CD52,HGNC:1804,Human,DB00087
Q13639,5-hydroxytryptamine receptor 4,HTR4,2661757,Y12505,Q13639,5HT4R_HUMAN,,HTR4,HTR4,HGNC:5299,Human,DB00604; DB00904; DB01079; DB01233; DB04873; DB04917; DB05655; DB05905; DB08810
P02792,Ferritin light chain,FTL,182514,M11147,P02792,FRIL_HUMAN,,FTL,FTL,HGNC:3999,Human,DB00893; DB02285
P42357,Histidine ammonia-lyase,HAL,451210,D16626,P42357,HUTH_HUMAN,,HAL,HAL,HGNC:4806,Human,DB00117
Q02809,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",PLOD1,190074,L06419,Q02809,PLOD1_HUMAN,,PLOD1,PLOD1,HGNC:9081,Human,DB00126; DB00139
P14618,Pyruvate kinase PKM,PKM2,189998,M23725,P14618,KPYM_HUMAN,,PKM2,PKM2,HGNC:9021,Human,DB00119; DB01733; DB02726; DB07628; DB07692; DB07697
O43920,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5,NDUFS5,2911482,AF047434,O43920,NDUS5_HUMAN,,NDUFS5,NDUFS5,HGNC:7712,Human,DB00157
Q12809,Potassium voltage-gated channel subfamily H member 2,KCNH2,487738,U04270,Q12809,KCNH2_HUMAN,,KCNH2,KCNH2,HGNC:6251,Human,DB00204; DB00276; DB00308; DB00342; DB00346; DB00457; DB00458; DB00477; DB00489; DB00590; DB00604; DB00637; DB00661; DB00679; DB00908; DB01100; DB01110; DB01118; DB01136; DB01142; DB01162; DB01182; DB01218; DB04855; DB04957; DB06144
Q969P6,"DNA topoisomerase I, mitochondrial",TOP1MT,15919359,AF349031,Q969P6,TOP1M_HUMAN,,TOP1MT,TOP1MT,HGNC:29787,Human,DB00762; DB01030
P11229,Muscarinic acetylcholine receptor M1,CHRM1,34451,X52068,P11229,ACM1_HUMAN,,CHRM1,CHRM1,HGNC:1950,Human,DB00185; DB00202; DB00209; DB00215; DB00219; DB00245; DB00246; DB00280; DB00321; DB00332; DB00334; DB00340; DB00342; DB00354; DB00363; DB00366; DB00376; DB00383; DB00387; DB00392; DB00408; DB00411; DB00420; DB00424; DB00434; DB00458; DB00462; DB00477; DB00496; DB00505; DB00508; DB00517; DB00540; DB00543; DB00572; DB00622; DB00670; DB00715; DB00725; DB00747; DB00767; DB00771; DB00777; DB00782; DB00785; DB00804; DB00805; DB00809; DB00810; DB00835; DB00875; DB00907; DB00934; DB00940; DB00942; DB00979; DB00986; DB01036; DB01062; DB01069; DB01085; DB01142; DB01148; DB01151; DB01175; DB01224; DB01231; DB01233; DB01238; DB01239; DB01403; DB01409; DB01591; DB01618; DB04365; DB04843; DB05152; DB05752; DB05766; DB06702; DB08897
O75380,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",NDUFS6,3348137,AF044959,O75380,NDUS6_HUMAN,,NDUFS6,NDUFS6,HGNC:7713,Human,DB00157
Q9Y289,Sodium-dependent multivitamin transporter,SLC5A6,5006439,AF116241,Q9Y289,SC5A6_HUMAN,,SLC5A6,SLC5A6,HGNC:11041,Human,DB00121; DB00166
P34972,Cannabinoid receptor 2,CNR2,407807,X74328,P34972,CNR2_HUMAN,,CNR2,CNR2,HGNC:2160,Human,DB00470; DB00486
Q15800,Methylsterol monooxygenase 1,SC4MOL,1408206,U60205,Q15800,MSMO1_HUMAN,,SC4MOL,SC4MOL,HGNC:10545,Human,DB00157
Q8N8R3,Mitochondrial carnitine/acylcarnitine carrier protein CACL,SLC25A29,28193150,BX247983,Q8N8R3,MCATL_HUMAN,,SLC25A29,SLC25A29,HGNC:20116,Human,DB00583
P11177,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",PDHB,189760,M34479,P11177,ODPB_HUMAN,,PDHB,PDHB,HGNC:8808,Human,DB00119; DB00157
Q9NS75,Cysteinyl leukotriene receptor 2,CYSLTR2,9663958,AB038269,Q9NS75,CLTR2_HUMAN,,CYSLTR2,CYSLTR2,HGNC:18274,Human,DB00716
Q9BYZ2,L-lactate dehydrogenase A-like 6B,LDHAL6B,12331000,AY009108,Q9BYZ2,LDH6B_HUMAN,,LDHAL6B,LDHAL6B,HGNC:21481,Human,DB00157
P17707,S-adenosylmethionine decarboxylase proenzyme,AMD1,178518,M21154,P17707,DCAM_HUMAN,,AMD1,AMD1,HGNC:457,Human,DB00118; DB01917; DB03754; DB08163
Q9BYV1,"Alanine--glyoxylate aminotransferase 2, mitochondrial",AGXT2,12406973,AJ292204,Q9BYV1,AGT2_HUMAN,,AGXT2,AGXT2,HGNC:14412,Human,DB00114; DB00119; DB00145; DB00160
P44469,Penicillin-binding protein 2,mrdA,1572976,L42023,P44469,PBP2_HAEIN,,,,,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),DB00303; DB00671
Q14894,Ketimine reductase mu-crystallin,CRYM,1066343,L02950,Q14894,CRYM_HUMAN,,CRYM,CRYM,HGNC:2418,Human,DB05235
P35610,Sterol O-acyltransferase 1,SOAT1,4878022,L21934,P35610,SOAT1_HUMAN,,SOAT1,SOAT1,HGNC:11177,Human,DB00973; DB01094
O76082,Solute carrier family 22 member 5,SLC22A5,3273741,AF057164,O76082,S22A5_HUMAN,,SLC22A5,SLC22A5,HGNC:10969,Human,DB00583
P13688,Carcinoembryonic antigen-related cell adhesion molecule 1,CEACAM1,179440,J03858,P13688,CEAM1_HUMAN,,CEACAM1,CEACAM1,HGNC:1814,Human,DB00113
P51606,N-acylglucosamine 2-epimerase,RENBP,220053,D10232,P51606,RENBP_HUMAN,,RENBP,RENBP,HGNC:9959,Human,DB00141
Q9H244,P2Y purinoceptor 12,P2RY12,12083902,AF313449,Q9H244,P2Y12_HUMAN,,P2RY12,P2RY12,HGNC:18124,Human,DB00208; DB00374; DB00758; DB01240; DB04902; DB06209; DB08816
P21673,Diamine acetyltransferase 1,SAT1,338392,M77693,P21673,SAT1_HUMAN,,SAT1,SAT1,HGNC:10540,Human,DB04633
P25021,Histamine H2 receptor,HRH2,184088,M64799,P25021,HRH2_HUMAN,,HRH2,HRH2,HGNC:5183,Human,DB00272; DB00321; DB00334; DB00408; DB00501; DB00585; DB00667; DB00751; DB00797; DB00863; DB00927; DB00940; DB01142; DB05369; DB05381; DB06216; DB08805; DB08806
P06746,DNA polymerase beta,POLB,292397,L11607,P06746,DPOLB_HUMAN,,POLB,POLB,HGNC:9174,Human,DB00987; DB03222; DB07479
P06149,D-lactate dehydrogenase,dld,145753,M10038,P06149,DLD_ECOLI,,,,,Escherichia coli (strain K12),DB00756; DB03147
P07741,Adenine phosphoribosyltransferase,APRT,28819,Y00486,P07741,APT_HUMAN,,APRT,APRT,HGNC:626,Human,DB00173; DB01632; DB03506; DB04272
P06864,Evolved beta-galactosidase subunit alpha,ebgA,145821,M64441,P06864,BGA2_ECOLI,,,,,Escherichia coli (strain K12),DB00581
Q16647,Prostacyclin synthase,PTGIS,10944956,D38145,Q16647,PTGIS_HUMAN,,PTGIS,PTGIS,HGNC:9603,Human,DB00812; DB01240; DB08675
Q05940,Synaptic vesicular amine transporter,SLC18A2,292335,L09118,Q05940,VMAT2_HUMAN,,SLC18A2,SLC18A2,HGNC:10935,Human,DB00182; DB00206; DB00368; DB00386; DB00865; DB01089; DB01363; DB01364; DB01442; DB01454; DB01472; DB01576; DB01577; DB04844; DB06706; DB06714
O95477,ATP-binding cassette sub-family A member 1,ABCA1,9247086,AF275948,O95477,ABCA1_HUMAN,,ABCA1,ABCA1,HGNC:29,Human,DB00171; DB01016; DB01599
Q49184,Dihydropteroate synthase type-1,sulI,44284,X53635,Q49184,DHP1_MYCFO,,,,,Mycobacterium fortuitum,DB00891
P17752,Tryptophan 5-hydroxylase 1,TPH1,37955,X52836,P17752,TPH1_HUMAN,,TPH1,TPH1,HGNC:12008,Human,DB00360; DB03271; DB05199
P72030,Probable arabinosyltransferase B,embB,1552877,BX842584,P72030,EMBB_MYCTU,,,,,Mycobacterium tuberculosis,DB00330
P03372,Estrogen receptor,ESR1,31234,X03635,P03372,ESR1_HUMAN,,ESR1,ESR1,HGNC:3467,Human,DB00255; DB00269; DB00286; DB00294; DB00304; DB00367; DB00396; DB00481; DB00539; DB00603; DB00655; DB00675; DB00783; DB00823; DB00882; DB00890; DB00947; DB00957; DB00977; DB01065; DB01108; DB01183; DB01185; DB01196; DB01357; DB01406; DB01431; DB01645; DB01708; DB02615; DB02715; DB03742; DB03802; DB04468; DB04471; DB04573; DB04574; DB04575; DB04938; DB05233; DB05338; DB05487; DB05662; DB05882; DB06871; DB06898; DB06927; DB07086; DB07087; DB07195; DB07567; DB07638; DB07678; DB07707; DB07708; DB07712; DB07932; DB07933; DB07991; DB08020; DB08047; DB08048; DB08320; DB08398; DB08595; DB08737; DB08773
P08192,Bifunctional protein FolC,folC,146020,M32445,P08192,FOLC_ECOLI,,,,,Escherichia coli (strain K12),DB01015; DB02437; DB03830
P08700,Interleukin-3,IL3,307059,M14743,P08700,IL3_HUMAN,,IL3,IL3,HGNC:6011,Human,DB01025
Q04828,Aldo-keto reductase family 1 member C1,AKR1C1,181549,M86609,Q04828,AK1C1_HUMAN,,AKR1C1,AKR1C1,HGNC:384,Human,DB00157; DB00936; DB00945; DB03461; DB04674; DB07768; DB07931
P0A7X3,30S ribosomal protein S9,rpsI,535073,X02130,P0A7X3,RS9_ECOLI,,,,,Escherichia coli (strain K12),DB00254; DB00256; DB00453; DB00560; DB00595; DB00618; DB01017; DB01301
